trade_date,instrument_id,status,is_buy,created_size,executed_size,executed_price,executed_value,executed_commission
2024-04-01,3365,Accepted,True,41614.0,0.0,0.0,0.0,0.0
2024-04-01,4256,Accepted,True,54200.0,0.0,0.0,0.0,0.0
2024-04-01,4456,Accepted,True,62305.0,0.0,0.0,0.0,0.0
2024-04-01,4542,Accepted,True,32237.0,0.0,0.0,0.0,0.0
2024-04-01,4603,Accepted,True,14312.0,0.0,0.0,0.0,0.0
2024-04-01,4714,Accepted,True,30864.0,0.0,0.0,0.0,0.0
2024-04-01,4744,Accepted,True,73909.0,0.0,0.0,0.0,0.0
2024-04-01,5191,Accepted,True,48449.0,0.0,0.0,0.0,0.0
2024-04-01,5241,Accepted,True,47080.0,0.0,0.0,0.0,0.0
2024-04-01,5346,Accepted,True,56306.0,0.0,0.0,0.0,0.0
2024-04-01,7850,Accepted,True,17825.0,0.0,0.0,0.0,0.0
2024-04-01,7851,Accepted,True,28224.0,0.0,0.0,0.0,0.0
2024-04-01,7856,Accepted,True,14473.0,0.0,0.0,0.0,0.0
2024-04-01,7987,Accepted,True,14834.0,0.0,0.0,0.0,0.0
2024-04-01,1617,Completed,True,50658.0,50658.0,6.700000000000001,339408.60000000003,101.82257999999999
2024-04-01,1627,Completed,True,76804.0,76804.0,4.43,340241.72,102.07251599999998
2024-04-01,1903,Completed,True,23359.0,23359.0,14.060000000000002,328427.54000000004,98.528262
2024-04-01,2004,Completed,True,31806.0,31806.0,10.53,334917.18,100.47515399999997
2024-04-01,2009,Completed,True,24875.0,24875.0,13.58,337802.5,101.34075
2024-04-01,2012,Completed,True,56116.0,56116.0,6.15,345113.4,103.53402
2024-04-01,2181,Completed,True,38358.0,38358.0,8.75,335632.5,100.68974999999999
2024-04-01,2214,Completed,True,20977.0,20977.0,15.66,328499.82,98.54994599999999
2024-04-01,2602,Completed,True,46168.0,46168.0,7.49,345798.32,103.73949599999999
2024-04-01,2669,Completed,True,19758.0,19758.0,17.24,340627.92,102.18837599999998
2024-04-01,3024,Completed,True,10642.0,10642.0,31.230000000000004,332349.66000000003,99.70489799999999
2024-04-01,3032,Completed,True,23707.0,23707.0,13.33,316014.31,94.80429299999999
