id,run_id,portfolio_id,source_target_run_id,adjusted_target_run_id,profile_code,rule_code,instrument_id,decision_date,decision_type,reason_code,action_taken,before_target_weight,after_target_weight,before_target_quantity,after_target_quantity,before_target_amount,after_target_amount,message
666,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,4929,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
667,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,3981,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,7100.00000000,0E-8,325180.00000000,0E-8,missing industry classification
668,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,3981,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
669,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,3981,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
670,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,2182,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,96600.00000000,0E-8,327474.00000000,0E-8,missing industry classification
671,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,2182,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
672,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,2182,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
673,167,1,160,166,paper_cn_a_risk3_strict_v1,R007_INDUSTRY_MAX_WEIGHT,5678,2026-04-22,REJECT,R007_MISSING_INDUSTRY,SET_TARGET_ZERO,0.0333333333,0E-10,7500.00000000,0E-8,326475.00000000,0E-8,missing industry classification
674,167,1,160,166,paper_cn_a_risk3_strict_v1,R009_MARKET_RISK_SWITCH,5678,2026-04-22,PASS,R009_MARKET_RISK_SWITCH_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
675,167,1,160,166,paper_cn_a_risk3_strict_v1,R011_LIQUIDITY_FILTER,5678,2026-04-22,PASS,R011_LIQUIDITY_FILTER_SKIPPED_AFTER_REJECT,NO_CHANGE,0E-10,0E-10,0E-8,0E-8,0E-8,0E-8,already rejected
