id,run_uid,run_type,run_name,status,trigger_type,parent_run_id,requested_at,started_at,ended_at,created_at,updated_at,error_message,log_level
121,931da621-69df-408e-a75c-1887861511d3,PAPER_TRADING,bootstrap_m7_paper_rebalance_order_chain,STALE,MANUAL,,2026-04-21T05:20:45.032413+00:00,2026-04-21T05:20:45.098777+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:20:45.090873+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
120,2bc7da73-6dd1-43e9-b9e8-e900bf501ed0,PAPER_TRADING,bootstrap_m7_paper_rebalance_order_chain,STALE,MANUAL,,2026-04-21T05:15:29.911944+00:00,2026-04-21T05:15:29.977810+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:15:29.967061+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
118,df88a01f-4bee-4619-81fd-e8464bd9ac3a,PAPER_TRADING,bootstrap_m7_paper_rebalance_order_chain,STALE,MANUAL,,2026-04-21T05:09:24.404028+00:00,2026-04-21T05:09:24.488683+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:09:24.458836+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
95,deead1ad-977c-41a3-8d27-b0cd40e568ac,paper_order,M6 Paper Order First Chain,FAILED,MANUAL,,2026-04-20T06:20:09.926241+00:00,2026-04-20T06:20:09.926241+00:00,2026-04-20T06:25:53.137638+00:00,2026-04-20T06:20:09.926241+00:00,2026-04-20T06:25:53.137638+00:00,M6 paper_order generated 0 orders; replaced by fixed order estimation logic,ERROR
56,82b64160-de8a-4a2d-b70e-460cb08467bf,DATA_SYNC,bootstrap_m3_indicator_chain,FAILED,MANUAL,,2026-04-16T07:41:24.120312+00:00,2026-04-16T07:41:24.127543+00:00,2026-04-16T07:41:24.159039+00:00,2026-04-16T07:41:24.122090+00:00,2026-04-16T07:41:24.161667+00:00,Foreign key associated with column 'analytics_instrument_indicator_snapshot.instrument_id' could not find table 'meta_instrument' with which to generate a foreign key to target column 'id',ERROR
55,d2bb0f63-11d1-43ce-8fa1-87b789a58282,DATA_SYNC,bootstrap_m3_indicator_chain,FAILED,MANUAL,,2026-04-16T07:41:15.104041+00:00,2026-04-16T07:41:15.111216+00:00,2026-04-16T07:41:15.140348+00:00,2026-04-16T07:41:15.105116+00:00,2026-04-16T07:41:15.142440+00:00,Foreign key associated with column 'analytics_instrument_indicator_snapshot.instrument_id' could not find table 'meta_instrument' with which to generate a foreign key to target column 'id',ERROR
54,7172d774-ad8c-432b-9330-2ae9048183b7,DATA_SYNC,bootstrap_m3_indicator_chain,FAILED,MANUAL,,2026-04-16T07:41:05.083871+00:00,2026-04-16T07:41:05.095220+00:00,2026-04-16T07:41:05.145766+00:00,2026-04-16T07:41:05.084476+00:00,2026-04-16T07:41:05.146761+00:00,Foreign key associated with column 'analytics_instrument_indicator_snapshot.instrument_id' could not find table 'meta_instrument' with which to generate a foreign key to target column 'id',ERROR
53,599232ff-a907-4e7b-954e-5afe68fcab2b,DATA_SYNC,bootstrap_m3_indicator_chain,FAILED,MANUAL,,2026-04-16T07:35:02.936098+00:00,2026-04-16T07:35:02.949095+00:00,2026-04-16T07:35:02.969731+00:00,2026-04-16T07:35:02.938473+00:00,2026-04-16T07:35:02.971396+00:00,"(psycopg.errors.UndefinedColumn) column af.adjust_factor does not exist
LINE 6:                 af.adjust_factor AS adjust_factor,
                        ^
[SQL: 
            SELECT
                db.instrument_id,
                db.trade_date,
                db.close AS close_price,
                af.adjust_factor AS adjust_factor,
                pl.up_limit_price AS up_limit_price,
                COALESCE(isd.trading_status, 'NO_BAR') AS trading_status
            FROM core_daily_bar db
            LEFT JOIN core_adjust_factor af
                ON af.instrument_id = db.instrument_id
               AND af.trade_date = db.trade_date
            LEFT JOIN core_price_limit_daily pl
                ON pl.instrument_id = db.instrument_id
               AND pl.trade_date = db.trade_date
            LEFT JOIN core_instrument_status_daily isd
                ON isd.instrument_id = db.instrument_id
               AND isd.trade_date = db.trade_date
            WHERE db.instrument_id = ANY(%(instrument_ids)s)
              AND db.trade_date <= %(trade_date)s
            ORDER BY db.instrument_id, db.trade_date
            ]
[parameters: {'instrument_ids': [1, 2, 508, 512, 514, 515, 516, 517, 518, 519, 520, 521, 522, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541 ... (831 characters truncated) ...  5895, 5896, 5897, 5898, 5899, 5900, 5901, 5902, 5903, 5904, 5905, 5906, 5907, 5908, 5909, 5910, 5911, 5912, 5913, 5914, 5915, 5916, 5917, 5918, 5919], 'trade_date': datetime.date(2024, 1, 4)}]
(Background on this error at: https://sqlalche.me/e/20/f405)",ERROR
42,24c02b73-9dd9-4594-b7a0-01680426bd59,DATA_SYNC,bootstrap_daily_bar_first_chain,FAILED,MANUAL,,2026-04-10T03:13:18.484620+00:00,2026-04-10T03:13:18.495931+00:00,2026-04-10T03:14:16.460010+00:00,2026-04-10T03:13:18.490471+00:00,2026-04-10T03:14:16.462387+00:00,'BatchPlan' object has no attribute 'isoformat',ERROR
40,4dc6d958-2a70-4e0f-be5f-0d8667bdf9c9,DATA_SYNC,bootstrap_daily_bar_first_chain,STALE,MANUAL,,2026-04-10T01:39:41.191518+00:00,2026-04-10T01:39:41.202372+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-10T01:39:41.195377+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
37,08057327-874d-4f46-bbfb-d13091ee6111,DATA_SYNC,bootstrap_daily_bar_first_chain,STALE,MANUAL,,2026-04-10T00:49:52.897160+00:00,2026-04-10T00:49:52.995495+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-10T00:49:51.229232+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
36,8ea02e74-fe3e-46e5-9152-98e49dbc8b12,DATA_SYNC,bootstrap_daily_bar_first_chain,STALE,MANUAL,,2026-04-09T07:37:17.118488+00:00,2026-04-09T07:37:17.129025+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-09T07:37:17.120222+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
35,9789eaba-4bf2-4f15-8efa-3c0018678685,DATA_SYNC,bootstrap_daily_bar_first_chain,STALE,MANUAL,,2026-04-09T07:36:32.354680+00:00,2026-04-09T07:36:32.380808+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-09T07:36:32.359944+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
